Date,Order Number,Currency,Sub-total,Shipping,Tax,Total,Earning,Status,Coupon Code,Products
19-May-2024,173855,USD,1619.99,0,101.25,1721.24,97.1994,approved,xToolBrandon,xTool S1 Enclosed Diode Laser Cutter - Black / xTool S1 20W / xTool S1 20W Basic Bundle
17-May-2024,173606,USD,399,0,31.12,430.12,23.94,approved,,[Refurbished] xTool D1 Pro Laser Engraver Cutting Machine - Red / Refurbished D1 Pro 10W Basic Kit
17-May-2024,173598,USD,649,0,61.50,710.5,51.92,approved,XTOOLOFFICIAL,xTool D1 Pro 2.0 10W Desktop Laser Engraver - D1 Pro 10W All-in-one Kit / Grey / US Plug (110V)
13-May-2024,172484,USD,2228.99,0,211.75,2440.74,133.7394,approved,XT100,"xTool F1: Fastest Portable Laser Engraver with IR + Diode Laser - xTool F1 Deluxe Bundle / US Plug (110V), xTool Screen Printer: 1st Screen Printing Solution with Laser - Basic Kit / I had one! Don't need a laser machine / US Plug (110V)"
09-May-2024,171372,USD,6152,0,338.37,6490.37,369.12,approved,,"xTool Automatic Conveyor Feeder for xTool P2 - Conveyor Rail (25.5""), xTool P2 55W Desktop CO2 Laser Cutter - Grey / xTool P2+RA2 Pro+Automatic Conveyor Feeder(39"")+Riser Base+Smoke Purifier / US Plug (110V), xTool P2 Honeycomb Panel"
07-May-2024,170524,USD,100,0,0.00,100,6,approved,,F1 Ultra Deposit - 20W Fiber & Diode Dual Laser Engraver for Almost All Materials
06-May-2024,170188,USD,67.87,0,6.48,114.34,4.582,approved,MakeX09,"Square Rock Coaster (4pcs), Screen Printing Frame 11.5"" x 16"", Multicolor Aluminum Business Cards (300pcs), xTool Honeycomb Material Pin"
06-May-2024,170097,USD,1599.99,0,146.00,1745.99,95.9994,approved,XT100,xTool S1 20W Enclosed Diode Laser Cutter - Pure White / xTool S1 20W Basic Bundle / US Plug (110V)
03-May-2024,169622,USD,2379.98,0,0.00,2379.98,142.7988,approved,100OFFS1,"xToolCare for xTool S1 - for xTool S1 20W, xTool S1 Enclosed Diode Laser Cutter - Black / xTool S1 20W / xTool S1 20W Deluxe Bundle, Free FREE Safety Care Offer: xTool S1 Fire Safety Set - US Plug (110V), [Tracking Number] S1 Accessory - [Tracking Number] S1 Riser Base-Black, [Tracking Number] Accessory - [Tracking Number] xTool RA2 Pro, [Tracking Number] S1 Accessory - [Tracking Number] S1 Automatic Conveyor Feeder Basic"
03-May-2024,169523,USD,1199,0,83.93,1282.93,71.94,approved,TIF1DARRYL300,xTool F1: Fastest Portable Laser Engraver with IR + Diode Laser - xTool F1 / US Plug (110V)
01-May-2024,168984,USD,139,0,9.73,148.73,8.34,approved,,xTool P2 Honeycomb Panel
30-Apr-2024,168840,USD,949,0,52.20,1001.2,56.94,approved,,[Refurbished] xTool D1 Pro Laser Engraver Cutting Machine - Red / Refurbished D1 Pro 20W Basic Kit
27-Apr-2024,168141,USD,54,10,4.48,68.48,3.24,approved,P2LENS,Laser Mirrors Pack (3pcs) for xTool P2
22-Apr-2024,167305,USD,69.88,0,5.09,74.97,4.1928,approved,MakeX12,"1/8"" Frosted Black Acrylic Plexiglass (3pcs), 1/8"" White Opaque Glossy Acrylic Sheet (3pcs), 1/8"" Black Opaque Glossy Acrylic Sheet Plexiglass (3pcs)-YAC005, 1/8"" Clear Transparent Glossy Acrylic Sheet Plexiglass (3pcs), Basswood Plywood Sheets - 1/8"" / 6pcs / 12"" x 12"""
21-Apr-2024,167078,USD,0,0,52.45,590.45,0,approved,,"xTool D1 Pro/D1 Air Assist Set - US Plug (110V), [Refurbished] xTool D1 Pro Laser Engraver Cutting Machine - Red / Refurbished D1 Pro 10W + Enclosure"
14-Apr-2024,165656,USD,7909.96,0,652.56,8562.52,488.4378,approved,NEW80,"Desktop Air Purifier for xTool F1 - US PLUG (110V), xTool P2 + F1 Ultimate Productive Business Duo - Grey / xTool P2+F1+RA2 Pro+Automatic Conveyor Feeder(39"")+Riser Base / US Plug (110V), xTool Smoke Purifier - US Plug (110V), xTool P2 Honeycomb Panel, 20oz Stainless Steel Coffee Tumbler for Laser Engraving - Peak Purple"
13-Apr-2024,165462,USD,6154.99,0,401.59,6556.58,369.2994,approved,DARRYL100,"xToolCare for xTool P2 - for P2, xTool P2 55W Desktop CO2 Laser Cutter - White / xTool P2+RA2 Pro+Automatic Conveyor Feeder(39"")+Riser Base+Smoke Purifier / US Plug (110V)"
12-Apr-2024,165208,USD,63.41,0,3.18,66.59,3.8046,approved,MaterialNew01,"Laserable PU Rectangular Patch (10pcs) - Brown to Silver, Stainless Steel Tumbler with Handle (40oz) - Black to Silver"
04-Apr-2024,163937,USD,2119.99,0,169.60,2289.59,127.1994,approved,xToolBrandon,xTool S1 Enclosed Diode Laser Cutter - Pure White / xTool S1 40W / xTool S1 40W Basic Kit
01-Apr-2024,163324,USD,2799.99,0,168.00,2967.99,167.9994,approved,XEST,xTool S1 Blue + 1064nm IR Laser Kit: Enclosed Diode Laser Engraver & Cutter - Black / xTool S1 40W + IR Rotary Kit / US Plug (110V)
31-Mar-2024,163097,USD,2099.99,0,169.33,2269.32,125.9994,approved,XT100,xTool S1 Enclosed Diode Laser Cutter - Black / xTool S1 40W / xTool S1 40W Basic Kit
31-Mar-2024,163021,USD,989.99,0,99.99,1089.98,79.1992,approved,,xTool D1 Pro 2.0 Desktop Laser Engraver Cutting Machine - D1 Pro 10W All-in-one Kit / Red / US Plug (110V)
31-Mar-2024,162874,USD,84.98,15,8.25,108.23,5.0988,approved,MaterialNew01,"Coated Screen (4pcs), Screen Printing Frame"
29-Mar-2024,162508,USD,134.1,0,10.13,144.23,8.046,approved,XCCA10SwnWxgg0Dw,xTool 6-inch 410 CFM Inline Duct Fan - US Plug (110V)
28-Mar-2024,162295,USD,244.99,0,15.31,260.3,14.6994,approved,MaterialNew01,"[US Only for xTool S1] xTool Fire Safety Set: Auto Fire Detection, Fire Extinguishing - US Plug (110V), 1/8"" Plywood Sheets Trial Kit (18pcs)"
28-Mar-2024,162192,USD,6824.99,0,566.82,7391.81,410.4878,approved,xToolBrandon,"xTool P2 Honeycomb Panel, xTool F1 Slide Extension, xTool Safety Goggles for Laser 190nm460nm & 800nm1100nm, xTool F1: Fastest Portable Laser Engraver with IR + Diode Laser - xTool P2+F1 Business Duo / US Plug (110V)"
